# key\tvalue\tscore
# key: romaji (no spaces)

konnichiwa	こんにちは	130
konbanwa	こんばんは	125
ohayo	おはよう	120
ohayou	おはよう	125
oyasumi	おやすみ	120
oyasuminasai	おやすみなさい	125
arigatou	ありがとう	130
doumoarigatou	どうもありがとう	130
sumimasen	すみません	125
gomenasai	ごめんなさい	120
sayonara	さようなら	120
yoroshiku	よろしく	120
yoroshikuonegaishimasu	よろしくお願いします	130

watashi	私	115
anata	あなた	110
kare	彼	100
kanojo	彼女	100
watashitachi	私たち	110
nihon	日本	120
nihongo	日本語	125
nihonjin	日本人	120
gaikokujin	外国人	115

genki	元気	115
genkidesu	元気です	120
daijoubu	大丈夫	120
daijoubudesu	大丈夫です	125
wakarimasu	わかります	120
wakarimasen	わかりません	125
shitteimasu	知っています	120
shirimasen	知りません	120

doko	どこ	110
nani	なに	110
nande	なんで	110
doushite	どうして	115
ikura	いくら	110
nanji	何時	110

kore	これ	105
sore	それ	105
are	あれ	105
dore	どれ	105
koko	ここ	105
soko	そこ	105
asoko	あそこ	105

tabemasu	食べます	120	nomimasu	飲みます	120
ikimasu	行きます	120
kimasu	来ます	120
mimasu	見ます	115
kikimasu	聞きます	115
yomimasu	読みます	115
kakimasu	書きます	115
kaimasu	買います	115
urimasu	売ります	115

benkyou	勉強	120
benkyoushimasu	勉強します	125
shigoto	仕事	120
kaisha	会社	115
daigaku	大学	120
gakusei	学生	120
sensei	先生	120
tomodachi	友達	120
kazoku	家族	115

tokyo	東京	120
osaka	大阪	115
kyoto	京都	115
hokkaido	北海道	115

oishii	おいしい	120	oishiidesu	おいしいです	120
kawaii	かわいい	120
kawaiidesu	かわいいです	120
sugoi	すごい	115
muzukashii	難しい	115
kantan	簡単	110
isogashii	忙しい	115
tanoshii	楽しい	115
ureshii	嬉しい	110

gakkou	がっこう	130
sushi	すし	120
ramen	らめん	110

# auto-generated fallback entries (low score)
aa	ああ	3
ai	あい	3
au	あう	3
ae	あえ	3
ao	あお	3
aka	あか	3
aki	あき	3
aku	あく	3
ake	あけ	3
ako	あこ	3
asa	あさ	3
ashi	あし	3
asu	あす	3
ase	あせ	3
aso	あそ	3
ata	あた	3
achi	あち	3
atsu	あつ	3
ate	あて	3
ato	あと	3
ana	あな	3
ani	あに	3
anu	あぬ	3
ane	あね	3
ano	あの	3
aha	あは	3
ahi	あひ	3
afu	あふ	3
ahe	あへ	3
